transaction_hash,block_hash,block_number,block_timestamp,index,spent_transaction_hash,spent_output_index,script_asm,script_hex,sequence,required_signatures,type,addresses,value
2423cb1fb26ae0633ffaa02ae53d31845bea2bdd1935928942f801dfb01fc092,0000000000000000000060ccbfb7e8f04728e284681c5eda3d35e87215f77936,844931,5/24/2024 14:21:46,1,8062f4806d7ccd4ca86f25d037009e25f5580648252e1677097d1986ed2642a3,1,,,4294967293,,witness_v0_keyhash,bc1q5ckd09lf6f98rkfmm0w88dhj6gw9es2cumpngu,214013
13116d05c0bda739420dc896de57904d66b7b899d7f17e511d7c46726dd13413,0000000000000000000060ccbfb7e8f04728e284681c5eda3d35e87215f77936,844931,5/24/2024 14:21:46,0,e4782194c85e4591a427a294c7f1671de780bb7a025e1e88501bb7f60698f849,1,,,4294967293,,witness_v0_keyhash,bc1qzadfxcc04h6kttfc3r797dsgqy70ryelgff7s5,233327
4ae8799a1f1868124969b3cdcdbac989ae3a86e9a057e2b94fde59c2e8c40d41,0000000000000000000060ccbfb7e8f04728e284681c5eda3d35e87215f77936,844931,5/24/2024 14:21:46,0,2deca6be9c1dd5cceecf45e33011ef122a15e6b5dfbe060561a1e917c2a609a7,157,,,4294967295,,witness_v0_keyhash,bc1qn6ahajej7pr4gg4udjh9sxnf23afqxxapfvhw4,47134
48bda96121bc8c3b649033ac4a11fb85822d711a07f1b95017bdecd946e26e4c,0000000000000000000060ccbfb7e8f04728e284681c5eda3d35e87215f77936,844931,5/24/2024 14:21:46,0,f48c6a68c3bc93712e4ecd096295768d925f883c49e84800cb741e49e3094da4,2,,,4294967295,,witness_v0_keyhash,bc1qn32w3xmhevfwtqka9dptlyh36a4q3lpqzzlf0s,283167
88a3bf11cfb3ccf8d680350d75aabcc09ae9f4a700dc376f4851918f39c9a825,0000000000000000000060ccbfb7e8f04728e284681c5eda3d35e87215f77936,844931,5/24/2024 14:21:46,0,67a971a8028cb5bdee08f08568d5ad84befec0467aa3dec91729416599e130aa,0,,,4294967293,,witness_v0_keyhash,bc1qpx4zm2xzncm2lhes5u8av2xkke7q2waagpcwp8,431156
88a3bf11cfb3ccf8d680350d75aabcc09ae9f4a700dc376f4851918f39c9a825,0000000000000000000060ccbfb7e8f04728e284681c5eda3d35e87215f77936,844931,5/24/2024 14:21:46,1,8acb141d9b738bcd20640515585c42fac02e3c2b21600f6273dc43c0b2f3cc5e,0,30440220354f9af79ee56e95b286be8e28fc44b69443ff8ceaabfcff4b15b78e33f4f24a02207298ea777368d0a4b751945dee1e0724545e8797a0b2a80f23dedbe119bd7e62[ALL] 02b037a4323cf54f40d505c63a1efb27f37918fa63c65afda680d643244606dd41,4730440220354f9af79ee56e95b286be8e28fc44b69443ff8ceaabfcff4b15b78e33f4f24a02207298ea777368d0a4b751945dee1e0724545e8797a0b2a80f23dedbe119bd7e62012102b037a4323cf54f40d505c63a1efb27f37918fa63c65afda680d643244606dd41,4294967293,,pubkeyhash,15odHKjtDC9VXrZVHHuq4kezyJBa6tkXgQ,99500
88a3bf11cfb3ccf8d680350d75aabcc09ae9f4a700dc376f4851918f39c9a825,0000000000000000000060ccbfb7e8f04728e284681c5eda3d35e87215f77936,844931,5/24/2024 14:21:46,2,76b8810405260c958623d4ccc57eeb2ea714f5111e22fee76ed084186c33421b,0,3044022001f8747ef0e6b54c26d1d44269b6fd49c06b9574640ac115c24fb40d6f5afb7a02201f3d234976317a4fa59fab514509bd773d77f1a32a9888e749af8c2dff1ebaa5[ALL] 03eab66831f5151137c64dc958a00545c35bbc07ff5601d5733607230a17d19367,473044022001f8747ef0e6b54c26d1d44269b6fd49c06b9574640ac115c24fb40d6f5afb7a02201f3d234976317a4fa59fab514509bd773d77f1a32a9888e749af8c2dff1ebaa5012103eab66831f5151137c64dc958a00545c35bbc07ff5601d5733607230a17d19367,4294967293,,pubkeyhash,1ProjocY2aWBz4exmmZ6WAE2QGZS8j798Y,80000
88a3bf11cfb3ccf8d680350d75aabcc09ae9f4a700dc376f4851918f39c9a825,0000000000000000000060ccbfb7e8f04728e284681c5eda3d35e87215f77936,844931,5/24/2024 14:21:46,3,e92239a0e72e80c641ee0009d252b2d32d7f0cbe301377f33ff679e4cecb8ecd,15,3045022100b0a716f813a96378aeeba6f59f2b3b98c139e33e8379ac4c30ffc211e6607cef0220074d70fb48cd81153afde38d148a13c7aa0c35bb3b1a949e2ef2782f04ec6200[ALL] 03c5333c42496917cebc074740ee9045f4ffaac247531d747bfc106667a84da41d,483045022100b0a716f813a96378aeeba6f59f2b3b98c139e33e8379ac4c30ffc211e6607cef0220074d70fb48cd81153afde38d148a13c7aa0c35bb3b1a949e2ef2782f04ec6200012103c5333c42496917cebc074740ee9045f4ffaac247531d747bfc106667a84da41d,4294967293,,pubkeyhash,1Hxcbm5P2JGav4Q582S7frHY2qdbeDd1j6,74330
88a3bf11cfb3ccf8d680350d75aabcc09ae9f4a700dc376f4851918f39c9a825,0000000000000000000060ccbfb7e8f04728e284681c5eda3d35e87215f77936,844931,5/24/2024 14:21:46,4,336f7b0f1f18359162bb273dd610910be314fceb1de28681648175d8d3122b3a,3,3043021f1825109efcc5845731ccdc4f6d4b9a4ca2f63cbdf85e2c7e7c69748a8dcb6702207708332fe00ec00024182c0e4b4af9c36e1a8e2d123276b6f8b448c38c88e6dc[ALL] 032c4eceede1ad2f7b23e3fd962a3b0a4779095059b680595652517712457d9226,463043021f1825109efcc5845731ccdc4f6d4b9a4ca2f63cbdf85e2c7e7c69748a8dcb6702207708332fe00ec00024182c0e4b4af9c36e1a8e2d123276b6f8b448c38c88e6dc0121032c4eceede1ad2f7b23e3fd962a3b0a4779095059b680595652517712457d9226,4294967293,,pubkeyhash,1NTcyd9DaDsh5k29AufENiJ8vD8LxYUisQ,130070
88a3bf11cfb3ccf8d680350d75aabcc09ae9f4a700dc376f4851918f39c9a825,0000000000000000000060ccbfb7e8f04728e284681c5eda3d35e87215f77936,844931,5/24/2024 14:21:46,5,47e85b95a20d4d5faababc788b1c558feec40c6b01c56bb426fb82e7ec586f5a,13,,,4294967293,,witness_v0_keyhash,bc1qter0t65n58mdzwv5hxe6k899dsr5d5h3zz0yu4,98093
